stock_id,symbol,isin,first_seen
56,ALICON,INE062D01024,2026-09-07
10777,ALIVUS,INE03Q201024,2026-09-07
57,ALKALI,INE773I01017,2026-09-07
58,ALKEM,INE540L01014,2026-09-07
59,ALKYLAMINE,INE150B01039,2026-09-07
60,ALLCARGO,INE418H01029,2026-09-07
10286,ALLDIGI,INE835G01018,2026-09-07
61,ALLSEC,,2026-09-07
9892,ALLTIME,INE0GV601021,2026-09-07
62,ALMONDZ,INE326B01035,2026-09-07
63,ALOKINDS,INE270A01029,2026-09-07
1696399,ALOKTEXT,,2026-09-07
64,ALPA,INE385I01010,2026-09-07
342001,ALPHA,,2026-09-07
156841,ALPHAETF,,2026-09-07
65,ALPHAGEO,INE137C01018,2026-09-07
11566,ALPINETEX,INE1JCQ01037,2026-09-07
225233,ALPL30IETF,,2026-09-07
66,ALPSINDUS,,2026-09-07
11179,ALUFLUOR,INE058F01019,2026-09-07
10889,AMAGI,INE121R01077,2026-09-07
11507,AMAL,INE841D01013,2026-09-07
11428,AMANTA,INE084K01015,2026-09-07
67,AMARAJABAT,,2026-09-07
11194,AMARJOTHI,INE484D01012,2026-09-07
11020,AMBALALSA,INE432A01017,2026-09-07
68,AMBER,INE371P01015,2026-09-07
10142,AMBICAAGAR,INE792B01012,2026-09-07
69,AMBIKCO,INE540G01014,2026-09-07
70,AMBUJACEM,INE079A01024,2026-09-07
71,AMDIND,INE005I01014,2026-09-07
11903,AMIORG,,2026-09-07
1420939,AMIRCHAND,,2026-09-07
72,AMJLAND,INE606A01024,2026-09-07
9858,AMNPLST,INE275D01022,2026-09-07
73,AMRUTANJAN,INE098F01031,2026-09-07
10074,ANANDRATHI,INE463V01026,2026-09-07
74,ANANTRAJ,INE242C01024,2026-09-07
1696410,ANDHRABANK,,2026-09-07
75,ANDHRACEMT,,2026-09-07
76,ANDHRAPAP,INE435A01051,2026-09-07
77,ANDHRSUGAR,INE715B01021,2026-09-07
1816353,ANDPAPER,,2026-09-07
9357,ANDREWYU,INE449C01025,2026-09-07
2075386,ANGELBRKG,,2026-09-07
11457,ANGELONE,INE732I01021,2026-09-07
78,ANIKINDS,INE087B01017,2026-09-07
79,ANKITMETAL,,2026-09-07
10831,ANMOL,INE02AR01019,2026-09-07
9567,ANNAPURNA,INE0MGM01017,2026-09-07
11580,ANNU,INE103001017,2026-09-07
80,ANSALAPI,,2026-09-07
11663,ANSALBU,INE030C01015,2026-09-07
81,ANSALHSG,,2026-09-07
9327,ANTELOPUS,INE818A01017,2026-09-07
10019,ANTGRAPHIC,INE414B01021,2026-09-07
10021,ANTHEM,INE0CZ201020,2026-09-07
11614,ANUHPHR,INE489G01022,2026-09-07
82,ANUP,INE294Z01018,2026-09-07
10294,ANURAS,INE930P01018,2026-09-07
1082202,AONEGOLD,,2026-09-07
850919,AONELIQUID,,2026-09-07
930861,AONENIFTY,,2026-09-07
1364957,AONESILVER,,2026-09-07
1207360,AONETMMQ50,,2026-09-07
818068,AONETOTAL,,2026-09-07
83,APARINDS,INE372A01015,2026-09-07
84,APCL,INE071F01012,2026-09-07
85,APCOTEXIND,INE116A01032,2026-09-07
86,APEX,INE346W01013,2026-09-07
87,APLAPOLLO,INE702C01027,2026-09-07
88,APLLTD,INE901L01018,2026-09-07
89,APOLLO,INE713T01028,2026-09-07
90,APOLLOHOSP,INE437A01024,2026-09-07
91,APOLLOPIPE,INE126J01016,2026-09-07
92,APOLLOTYRE,INE438A01022,2026-09-07
93,APOLSINHOT,INE451F01024,2026-09-07
11572,APOORVA,INE217S01014,2026-09-07
94,APTECHT,INE266F01018,2026-09-07
9563,APTUS,INE852O01025,2026-09-07
11779,AQYLON,INE416A01051,2026-09-07
95,ARCHIDPLY,INE877I01016,2026-09-07
96,ARCHIES,INE731A01020,2026-09-07
9409,ARCL,INE372M01010,2026-09-07
97,ARCOTECH,,2026-09-07
10813,ARDEE,INE0XNF01022,2026-09-07
11590,ARE&M,INE885A01032,2026-09-07
98,ARENTERP,INE610C01014,2026-09-07
11718,ARFIN,INE784R01023,2026-09-07
99,ARIES,INE298I01015,2026-09-07
100,ARIHANT,INE413D01011,2026-09-07
10675,ARIHANTCAP,INE420B01036,2026-09-07
101,ARIHANTSUP,INE643K01018,2026-09-07
10753,ARIS,INE0H9P01028,2026-09-07
972283,ARISINFRA,,2026-09-07
10532,ARKADE,INE0QRL01017,2026-09-07
102,ARMANFIN,INE109C01017,2026-09-07
103,AROGRANITE,INE210C01013,2026-09-07
9790,ARROWGREEN,INE570D01018,2026-09-07
1696433,ARROWTEX,,2026-09-07
104,ARSHIYA,,2026-09-07
9900,ARSSBL,INE549H01021,2026-09-07
105,ARSSINFRA,,2026-09-07
106,ARTEMISMED,INE025R01021,2026-09-07
9914,ARTNIRMAN,INE738V01013,2026-09-07
9810,ARVEE,INE006Z01016,2026-09-07
107,ARVIND,INE034A01011,2026-09-07
108,ARVINDFASN,INE955V01021,2026-09-07
109,ARVSMART,INE034S01021,2026-09-07
10805,ARYAMAN,INE032E01017,2026-09-07
110,ASAHIINDIA,INE439A01020,2026-09-07
111,ASAHISONG,INE228I01012,2026-09-07
112,ASAL,INE900C01027,2026-09-07
113,ASALCBR,INE073G01016,2026-09-07
114,ASHAPURMIN,INE348A01023,2026-09-07
115,ASHIANA,INE365D01021,2026-09-07
1450391,ASHIKA,,2026-09-07
11078,ASHIKAG,INE094B01013,2026-09-07
116,ASHIMASYN,INE440A01010,2026-09-07
117,ASHOKA,INE442H01029,2026-09-07
10657,ASHOKAMET,INE760Y01011,2026-09-07
118,ASHOKLEY,INE208A01029,2026-09-07
10434,ASIANENE,INE276G01015,2026-09-07
119,ASIANHOTNR,INE363A01022,2026-09-07
120,ASIANPAINT,INE021A01026,2026-09-07
121,ASIANTILES,INE022I01019,2026-09-07
9950,ASIANTNE,INE822B01017,2026-09-07
11677,ASKAUTOLTD,INE491J01022,2026-09-07
10504,ASMS,INE855F01042,2026-09-07
122,ASPINWALL,INE991I01015,2026-09-07
10727,ASSAMENT,INE165G01010,2026-09-07
10084,ASTAR,INE194D01017,2026-09-07
123,ASTEC,INE563J01010,2026-09-07
124,ASTERDM,INE914M01019,2026-09-07
125,ASTRAL,INE006I01046,2026-09-07
126,ASTRAMICRO,INE386C01029,2026-09-07
127,ASTRAZEN,INE203A01020,2026-09-07
128,ASTRON,,2026-09-07
10287,ATALREAL,INE0ALR01029,2026-09-07
10424,ATAM,INE09KD01013,2026-09-07
129,ATFL,,2026-09-07
10370,ATGL,INE399L01023,2026-09-07
9873,ATHERENERG,INE0LEZ01016,2026-09-07
11550,ATL,INE0NN701020,2026-09-07
130,ATLANTA,,2026-09-07
10547,ATLANTAA,INE285H01022,2026-09-07
11153,ATLANTAELE,INE0Z4F01028,2026-09-07
10264,ATLASCYCLE,INE446A01025,2026-09-07
131,ATUL,INE100A01010,2026-09-07
132,ATULAUTO,INE951D01028,2026-09-07
133,AUBANK,INE949L01017,2026-09-07
9601,AUGMONT,INE16W401027,2026-09-07
1140829,AURIGROW,,2026-09-07
134,AURIONPRO,INE132H01018,2026-09-07
135,AUROPHARMA,INE406A01037,2026-09-07
10885,AURUM,INE898S01029,2026-09-07
11142,AURUS,INE142K01011,2026-09-07
136,AUSOMENT,INE218C01016,2026-09-07
10234,AUSTENG,INE759F01012,2026-09-07
137,AUTOAXLES,INE449A01011,2026-09-07
11970,AUTOBEES,,2026-09-07
225306,AUTOIETF,,2026-09-07
138,AUTOIND,INE718H01014,2026-09-07
139,AUTOLITIND,,2026-09-07
140,AVADHSUGAR,INE349W01017,2026-09-07
1450429,AVAILFC,,2026-09-07
